一番満足した場所で行った活動,場所,%
日本食を楽しむ,東京駅周辺・丸の内・日本橋,32.7
日本食以外の料理を楽しむ,東京駅周辺・丸の内・日本橋,1.2
電気製品のショッピング,東京駅周辺・丸の内・日本橋,0.2
服・服飾雑貨のショッピング,東京駅周辺・丸の内・日本橋,4.8
日用雑貨、化粧品、食品、菓子類のショッピング,東京駅周辺・丸の内・日本橋,4.8
その他のショッピング,東京駅周辺・丸の内・日本橋,1.0
伝統文化の見学,東京駅周辺・丸の内・日本橋,0.0
伝統文化の体験,東京駅周辺・丸の内・日本橋,1.2
伝統建築の見学,東京駅周辺・丸の内・日本橋,8.5
最新の日本文化に触れる,東京駅周辺・丸の内・日本橋,0.2
高層ビル、近代的な街並み・景観・建築物の探索,東京駅周辺・丸の内・日本橋,29.8
美術館・博物館の探索,東京駅周辺・丸の内・日本橋,0.7
ウォーターフロント、夜景などの探索,東京駅周辺・丸の内・日本橋,0.2
自然を感じる,東京駅周辺・丸の内・日本橋,1.0
テーマパーク、レジャー施設で遊ぶ,東京駅周辺・丸の内・日本橋,1.5
室内型アミューズメント施設で遊ぶ,東京駅周辺・丸の内・日本橋,0.2
スポーツをする・観戦する,東京駅周辺・丸の内・日本橋,0.2
スパ・エステ,東京駅周辺・丸の内・日本橋,0.2
宿泊施設での滞在を楽しむ,東京駅周辺・丸の内・日本橋,4.8
ナイトライフを楽しむ,東京駅周辺・丸の内・日本橋,0.2
その他,東京駅周辺・丸の内・日本橋,6.3
日本食を楽しむ,秋葉原,3.9
日本食以外の料理を楽しむ,秋葉原,0.8
電気製品のショッピング,秋葉原,36.2
服・服飾雑貨のショッピング,秋葉原,5.6
日用雑貨、化粧品、食品、菓子類のショッピング,秋葉原,6.8
その他のショッピング,秋葉原,12.2
伝統文化の見学,秋葉原,0.1
伝統文化の体験,秋葉原,0.3
伝統建築の見学,秋葉原,0.4
最新の日本文化に触れる,秋葉原,20.8
高層ビル、近代的な街並み・景観・建築物の探索,秋葉原,4.9
美術館・博物館の探索,秋葉原,0.1
ウォーターフロント、夜景などの探索,秋葉原,0.1
自然を感じる,秋葉原,0.0
テーマパーク、レジャー施設で遊ぶ,秋葉原,0.5
室内型アミューズメント施設で遊ぶ,秋葉原,2.9
スポーツをする・観戦する,秋葉原,1.0
スパ・エステ,秋葉原,0.1
宿泊施設での滞在を楽しむ,秋葉原,1.4
ナイトライフを楽しむ,秋葉原,0.4
その他,秋葉原,1.3
日本食を楽しむ,銀座,16.2
日本食以外の料理を楽しむ,銀座,0.9
電気製品のショッピング,銀座,3.0
服・服飾雑貨のショッピング,銀座,36.2
日用雑貨、化粧品、食品、菓子類のショッピング,銀座,19.5
その他のショッピング,銀座,7.2
伝統文化の見学,銀座,0.8
伝統文化の体験,銀座,0.2
伝統建築の見学,銀座,0.4
最新の日本文化に触れる,銀座,0.1
高層ビル、近代的な街並み・景観・建築物の探索,銀座,10.4
美術館・博物館の探索,銀座,0.2
ウォーターフロント、夜景などの探索,銀座,0.1
自然を感じる,銀座,0.1
テーマパーク、レジャー施設で遊ぶ,銀座,0.0
室内型アミューズメント施設で遊ぶ,銀座,0.0
スポーツをする・観戦する,銀座,0.0
スパ・エステ,銀座,0.1
宿泊施設での滞在を楽しむ,銀座,2.4
ナイトライフを楽しむ,銀座,1.1
その他,銀座,1.2
日本食を楽しむ,築地,83.7
日本食以外の料理を楽しむ,築地,1.7
電気製品のショッピング,築地,0.4
服・服飾雑貨のショッピング,築地,0.9
日用雑貨、化粧品、食品、菓子類のショッピング,築地,0.9
その他のショッピング,築地,0.9
伝統文化の見学,築地,1.7
伝統文化の体験,築地,1.7
伝統建築の見学,築地,3.0
最新の日本文化に触れる,築地,1.7
高層ビル、近代的な街並み・景観・建築物の探索,築地,1.3
美術館・博物館の探索,築地,0.0
ウォーターフロント、夜景などの探索,築地,0.0
自然を感じる,築地,0.0
テーマパーク、レジャー施設で遊ぶ,築地,0.0
室内型アミューズメント施設で遊ぶ,築地,0.0
スポーツをする・観戦する,築地,0.0
スパ・エステ,築地,0.0
宿泊施設での滞在を楽しむ,築地,1.3
