国・地域,宿泊費,飲食費,都内交通費,娯楽入場費,土産買物費,その他,都内支出額計,平均泊数,標本数,年度,alpha-3
全体,31916.0,24337.0,8680.0,3275.0,65597.0,1234.0,135039.0,7.5,13042.0,2014,
韓国,27704.0,20754.0,8416.0,3401.0,19975.0,2538.0,82788.0,7.5,2599.0,2014,KOR
台湾,20233.0,16933.0,6281.0,3332.0,49330.0,703.0,96812.0,5.8,2867.0,2014,TWN
中国,29746.0,29093.0,7731.0,2743.0,161234.0,1043.0,231590.0,10.0,2589.0,2014,CHN
香港,32303.0,27687.0,8810.0,1908.0,92467.0,512.0,163687.0,6.0,1003.0,2014,HKG
タイ,18855.0,17329.0,8066.0,2777.0,49418.0,942.0,97387.0,6.1,629.0,2014,THA
シンガポール,44495.0,37020.0,10494.0,1854.0,66007.0,1189.0,161060.0,5.3,217.0,2014,SGP
マレーシア,33231.0,19278.0,9584.0,1565.0,60742.0,463.0,124863.0,7.8,211.0,2014,MYS
米国,65182.0,34407.0,12818.0,3106.0,20380.0,1491.0,137384.0,6.7,667.0,2014,USA
カナダ,44573.0,30209.0,11291.0,3091.0,23691.0,955.0,113810.0,5.9,146.0,2014,CAN
英国,61090.0,35828.0,11741.0,2994.0,21769.0,747.0,134169.0,6.5,200.0,2014,GBR
ドイツ,65739.0,32363.0,11660.0,1971.0,17313.0,598.0,129644.0,8.2,121.0,2014,DEU
フランス,85878.0,36309.0,21015.0,4096.0,25610.0,868.0,173776.0,8.9,151.0,2014,FRA
イタリア,49076.0,27004.0,11555.0,3427.0,20433.0,588.0,112083.0,8.6,73.0,2014,ITA
スペイン,49141.0,33772.0,13077.0,4941.0,25054.0,706.0,126691.0,7.3,61.0,2014,ESP
オーストラリア,49675.0,32908.0,11285.0,4418.0,34029.0,2053.0,134369.0,6.1,287.0,2014,AUS
インド,86558.0,29696.0,17162.0,3711.0,29104.0,848.0,167079.0,16.8,68.0,2014,IND
インドネシア,28718.0,14292.0,7176.0,3847.0,29188.0,846.0,84067.0,7.2,136.0,2014,IDN
フィリピン,30956.0,27955.0,9563.0,3247.0,51110.0,256.0,123088.0,13.8,162.0,2014,PHL
ベトナム,13606.0,14969.0,8496.0,2284.0,69077.0,1784.0,110216.0,17.0,110.0,2014,VNM
