イメージ,国・地域,%
人が親切,全体,64.0
おもてなしの心がある,全体,38.1
治安がよい,全体,56.3
衛生的,全体,67.2
先進的都市,全体,37.8
自然・景勝地・夜景,全体,18.3
伝統・文化,全体,26.2
都市として多様な魅力がある,全体,18.7
魅力的な繁華街が多い,全体,18.8
魅力的な宿泊施設が多い,全体,4.7
魅力的なレジャー施設・テーマパークが多い,全体,8.1
バリアフリー環境が整っている,全体,6.3
ハイテク産業が多い,全体,8.5
ビジネス環境が整っている,全体,6.5
交通網が発達している,全体,31.2
食事がおいしい,全体,38.2
食事のバリエーションが豊富である,全体,16.3
観光案内所、観光ガイドが充実している,全体,5.7
芸術が魅力的である,全体,5.0
建造物が魅力的である,全体,9.5
ファッション関係が魅力的である,全体,10.6
ポップカルチャーが魅力的である,全体,10.6
スポーツが魅力的である,全体,1.9
商品が信頼できる、豊富で品質がよい,全体,19.2
その他,全体,1.4
具体的なイメージがない,全体,0.2
無回答,全体,0.3
人が親切,韓国,74.2
おもてなしの心がある,韓国,12.8
治安がよい,韓国,43.8
衛生的,韓国,58.7
先進的都市,韓国,30.6
自然・景勝地・夜景,韓国,13.2
伝統・文化,韓国,19.5
都市として多様な魅力がある,韓国,26.0
魅力的な繁華街が多い,韓国,20.3
魅力的な宿泊施設が多い,韓国,3.8
魅力的なレジャー施設・テーマパークが多い,韓国,9.0
バリアフリー環境が整っている,韓国,0.6
ハイテク産業が多い,韓国,2.7
ビジネス環境が整っている,韓国,9.4
交通網が発達している,韓国,28.3
食事がおいしい,韓国,36.2
食事のバリエーションが豊富である,韓国,29.0
観光案内所、観光ガイドが充実している,韓国,7.5
芸術が魅力的である,韓国,3.5
建造物が魅力的である,韓国,13.7
ファッション関係が魅力的である,韓国,10.8
ポップカルチャーが魅力的である,韓国,11.1
スポーツが魅力的である,韓国,1.6
商品が信頼できる、豊富で品質がよい,韓国,17.3
その他,韓国,1.9
具体的なイメージがない,韓国,0.5
無回答,韓国,0.6
人が親切,台湾,49.7
おもてなしの心がある,台湾,41.2
治安がよい,台湾,54.6
衛生的,台湾,64.8
先進的都市,台湾,46.9
自然・景勝地・夜景,台湾,21.6
伝統・文化,台湾,24.5
都市として多様な魅力がある,台湾,17.9
魅力的な繁華街が多い,台湾,18.9
魅力的な宿泊施設が多い,台湾,3.9
魅力的なレジャー施設・テーマパークが多い,台湾,10.7
バリアフリー環境が整っている,台湾,6.9
ハイテク産業が多い,台湾,6.8
ビジネス環境が整っている,台湾,3.7
交通網が発達している,台湾,42.2
食事がおいしい,台湾,38.9
食事のバリエーションが豊富である,台湾,12.1
観光案内所、観光ガイドが充実している,台湾,7.5
芸術が魅力的である,台湾,5.0
建造物が魅力的である,台湾,9.7
ファッション関係が魅力的である,台湾,11.5
ポップカルチャーが魅力的である,台湾,13.6
スポーツが魅力的である,台湾,1.8
商品が信頼できる、豊富で品質がよい,台湾,17.3
その他,台湾,0.8
具体的なイメージがない,台湾,0.1
無回答,台湾,0.0
人が親切,中国,55.4
おもてなしの心がある,中国,40.1
治安がよい,中国,58.1
衛生的,中国,82.5
先進的都市,中国,33.8
自然・景勝地・夜景,中国,15.0
伝統・文化,中国,19.5
都市として多様な魅力がある,中国,13.2
魅力的な繁華街が多い,中国,15.2
魅力的な宿泊施設が多い,中国,2.1
魅力的なレジャー施設・テーマパークが多い,中国,5.2
バリアフリー環境が整っている,中国,10.7
ハイテク産業が多い,中国,11.6
ビジネス環境が整っている,中国,7.6
交通網が発達している,中国,32.5
食事がおいしい,中国,23.1
食事のバリエーションが豊富である,中国,8.3
観光案内所、観光ガイドが充実している,中国,3.0
芸術が魅力的である,中国,4.3
建造物が魅力的である,中国,4.4
ファッション関係が魅力的である,中国,8.5
ポップカルチャーが魅力的である,中国,8.4
スポーツが魅力的である,中国,1.4
商品が信頼できる、豊富で品質がよい,中国,29.7
その他,中国,0.9
具体的なイメージがない,中国,0.0
無回答,中国,0.0
人が親切,香港,62.1
おもてなしの心がある,香港,38.8
治安がよい,香港,55.1
衛生的,香港,71.0
先進的都市,香港,33.1
自然・景勝地・夜景,香港,20.3
伝統・文化,香港,25.4
都市として多様な魅力がある,香港,12.4
魅力的な繁華街が多い,香港,12.9
魅力的な宿泊施設が多い,香港,3.8
魅力的なレジャー施設・テーマパークが多い,香港,6.1
バリアフリー環境が整っている,香港,4.6
ハイテク産業が多い,香港,7.3
ビジネス環境が整っている,香港,4.3
交通網が発達している,香港,29.7
食事がおいしい,香港,54.5
食事のバリエーションが豊富である,香港,15.0
観光案内所、観光ガイドが充実している,香港,2.4
芸術が魅力的である,香港,3.8
建造物が魅力的である,香港,3.5
ファッション関係が魅力的である,香港,13.5
ポップカルチャーが魅力的である,香港,11.0
スポーツが魅力的である,香港,1.5
商品が信頼できる、豊富で品質がよい,香港,17.7
その他,香港,1.7
具体的なイメージがない,香港,0.1
無回答,香港,0.1
人が親切,タイ,66.7
おもてなしの心がある,タイ,50.2
治安がよい,タイ,71.5
衛生的,タイ,52.9
先進的都市,タイ,58.0
自然・景勝地・夜景,タイ,29.9
伝統・文化,タイ,30.8
都市として多様な魅力がある,タイ,23.7
魅力的な繁華街が多い,タイ,17.3
魅力的な宿泊施設が多い,タイ,12.6
魅力的なレジャー施設・テーマパークが多い,タイ,18.6
